Layer,Prior,Encoder,Iteration,Train_loss,Test_loss,Train_RE,Test_RE,Train_KL,Test_KL,Time,Weights,FID_score
fc,Normal2,NormalTrue,5,6.5124,9.8533,4.6821,8.0414,-1.8304,-1.8119,0.716626,10256,91.91905665173294
fc,Normal2,RandomNetTrue,1,11.2142,21.6192,9.2386,19.6442,-1.9755,-1.975,0.6293580000000001,7952,153.0879124564312
fc,Normal2,RandomNetTrue,2,11.1407,21.4466,9.1532,19.4621,-1.9875,-1.9845,0.62761,7952,154.91252023959373
fc,Normal2,RandomNetTrue,3,11.322,22.3273,9.3306,20.3396,-1.9914,-1.9877,0.634298,7952,154.48722908750432
fc,Normal2,RandomNetTrue,4,11.1702,21.447,9.1749,19.4593,-1.9953,-1.9877,0.63414,7952,150.40499705829012
fc,Normal2,RandomNetTrue,5,11.2096,22.033,9.2341,20.0599,-1.9755,-1.9731,0.634386,7952,152.66513607960786
fc,Normal2,RandomNetFalse,1,18.5658,36.1084,12.1175,29.6582,-6.4483,-6.4501,0.585874,7824,206.36158018768998
fc,Normal2,RandomNetFalse,2,18.718,36.9387,12.2699,30.4882,-6.4481,-6.4505,0.584414,7824,212.2194826988794
fc,Normal2,RandomNetFalse,3,18.6658,37.2418,12.2051,30.7811,-6.4607,-6.4607,0.5908840000000001,7824,216.24442026084301
fc,Normal2,RandomNetFalse,4,18.7113,36.2651,12.2407,29.7944,-6.4706,-6.4707,0.588356,7824,217.80538446462566
fc,Normal2,RandomNetFalse,5,18.2268,36.8148,11.7815,30.3693,-6.4453,-6.4454,0.590926,7824,211.9758094508995
fc,Normal2,RKSFalse,1,16.455,32.0504,9.9623,25.5567,-6.4927,-6.4937,0.5625560000000001,7824,173.52932045960878
fc,Normal2,RKSFalse,2,16.5966,33.4664,10.1202,26.9887,-6.4764,-6.4777,0.5642159999999999,7824,176.64667432969583
fc,Normal2,RKSFalse,3,16.5475,33.6294,10.0778,27.1583,-6.4697,-6.4711,0.564386,7824,174.99414246888153
fc,Normal2,RKSFalse,4,16.6959,34.4434,10.2131,27.9627,-6.4828,-6.4807,0.561088,7824,173.4973342620646
fc,Normal2,RKSFalse,5,16.6416,34.0256,10.1601,27.5453,-6.4815,-6.4803,0.5644039999999999,7824,180.56532361039842
fc,Flow2,NormalTrue,1,-8.9851,-6.1347,4.7934,7.6407,13.7785,13.7755,1.085918,11888,70.73994005732771
fc,Flow2,NormalTrue,2,-8.9855,-6.0409,4.7994,7.7173,13.7849,13.7582,1.077586,11888,70.84926837661635
fc,Flow2,NormalTrue,3,-8.9993,-6.1519,4.7819,7.5959,13.7812,13.7478,1.067326,11888,67.66954368645168
fc,Flow2,NormalTrue,4,-9.0325,-6.126,4.7506,7.6313,13.7831,13.7573,1.077734,11888,70.94485027504982
fc,Flow2,NormalTrue,5,-9.0245,-6.0759,4.7627,7.7086,13.7871,13.7844,1.114236,11888,71.7742025785268
fc,Flow2,RandomNetTrue,1,-4.1839,5.791,9.4747,19.4349,13.6586,13.6439,0.979988,9584,140.73057563418368
fc,Flow2,RandomNetTrue,2,-4.1607,6.0624,9.493,19.707,13.6537,13.6447,0.9909039999999999,9584,134.4463083321647
fc,Flow2,RandomNetTrue,3,-4.3163,5.882,9.3387,19.5247,13.6549,13.6427,0.9879580000000001,9584,138.36002689102992
fc,Flow2,RandomNetTrue,4,-4.3902,5.2472,9.2773,18.8987,13.6675,13.6515,0.9979539999999998,9584,138.11281536668724
